Quarter,Channel,Product_Line,Revenue,Product_Cost,Customer_Service_Cost,Profit
Q1,MAL,Other Products,60,76,12,-28
Q1,DSA,Credit Products,228,286,41,-98
Q3,EML,Credit Products,393,142,22,230
Q4,ATM,Other Products,151,107,21,23
Q3,MOP,Deposit Products,69,41,10,19
Q3,EML,Deposit Products,106,79,17,9
Q1,BRH,Third Party Products,376,168,18,191
Q3,TEL,Revolving Credit Products,81,101,23,-44
Q4,CCT,Other Products,407,347,56,5
Q3,MAL,Deposit Products,200,112,15,73
Q4,TEL,Credit Products,168,175,25,-32
Q1,INT,Other Products,394,506,77,-189
Q2,INT,Revolving Credit Products,352,368,59,-74
Q1,CCT,Deposit Products,85,79,10,-4
Q1,EVE,Credit Products,74,53,13,8
Q1,EML,Third Party Products,71,43,8,20
Q4,MAL,Fee Based Products,59,72,11,-23
Q3,MOP,Deposit Products,125,69,14,43
Q2,INT,Third Party Products,97,53,9,34
Q1,MOP,Credit Products,106,128,21,-43
Q3,INT,Other Products,287,259,54,-25
Q2,MOP,Revolving Credit Products,123,61,9,53
Q4,EML,Credit Products,1123,495,106,522
Q1,ATM,Third Party Products,65,56,8,1
Q1,EML,Revolving Credit Products,218,241,25,-48
Q2,ATM,Other Products,71,43,4,24
Q1,INT,Third Party Products,87,50,6,31
Q4,MAL,Third Party Products,103,70,11,23
Q4,CCT,Credit Products,436,541,78,-184
Q3,MOP,Revolving Credit Products,60,67,13,-20
Q3,CCT,Other Products,389,416,73,-100
Q2,EVE,Revolving Credit Products,124,153,35,-64
Q3,EML,Revolving Credit Products,470,544,93,-167
Q1,EML,Third Party Products,67,54,7,6
Q2,MAL,Revolving Credit Products,728,713,140,-125
Q2,ATM,Revolving Credit Products,82,77,15,-11
Q2,INT,Deposit Products,157,154,23,-20
Q1,EVE,Credit Products,103,56,9,38
Q2,MOP,Credit Products,82,59,13,10
Q1,EML,Other Products,202,180,44,-22
Q3,INT,Credit Products,197,106,21,69
Q4,MAL,Deposit Products,163,171,38,-46
Q1,CCT,Revolving Credit Products,318,153,24,141
Q2,TEL,Other Products,124,57,10,57
Q1,EVE,Deposit Products,115,107,24,-16
Q1,MOP,Credit Products,93,109,17,-33
Q4,INT,Deposit Products,69,58,11,-1
Q1,INT,Credit Products,319,195,41,82
Q2,ATM,Third Party Products,577,697,129,-248
Q1,CCT,Other Products,154,74,9,72
Q4,CCT,Fee Based Products,244,271,45,-72
Q2,INT,Other Products,185,73,12,100
Q1,TEL,Deposit Products,89,108,17,-36
Q3,ATM,Other Products,1104,1215,132,-242
Q1,MAL,Credit Products,363,238,53,72
Q3,EVE,Credit Products,135,77,12,47
Q4,DSA,Credit Products,266,197,42,27
Q4,MOP,Revolving Credit Products,69,79,10,-20
Q1,MAL,Deposit Products,187,245,29,-87
Q4,MOP,Credit Products,98,44,5,50
Q2,MAL,Other Products,62,60,11,-9
Q1,DSA,Revolving Credit Products,134,158,20,-45
Q1,ATM,Third Party Products,654,733,166,-244
Q1,EVE,Revolving Credit Products,72,59,7,6
Q3,ATM,Third Party Products,466,227,57,183
Q1,ATM,Third Party Products,60,35,9,17
Q1,MAL,Fee Based Products,116,56,8,52
Q1,BRH,Third Party Products,151,72,11,67
Q3,ATM,Third Party Products,71,75,8,-12
Q1,MAL,Third Party Products,57,52,12,-7
Q3,INT,Credit Products,272,178,18,75
Q1,CCT,Third Party Products,135,125,31,-21
Q2,DSA,Deposit Products,140,115,23,2
Q4,ATM,Fee Based Products,147,102,13,31
Q4,MAL,Third Party Products,230,276,50,-95
Q2,TEL,Credit Products,116,69,14,33
Q1,BRH,Fee Based Products,294,305,74,-84
Q4,BRH,Fee Based Products,322,267,63,-7
Q1,EML,Revolving Credit Products,234,98,19,117
Q1,MOP,Deposit Products,228,90,15,123
Q4,ATM,Third Party Products,140,124,24,-8
Q1,ATM,Other Products,71,49,5,17
Q4,BRH,Third Party Products,219,127,14,78
Q4,DSA,Deposit Products,93,120,28,-56
Q3,EML,Revolving Credit Products,254,242,33,-20
Q1,INT,Fee Based Products,165,80,15,70
Q4,MOP,Revolving Credit Products,236,245,33,-42
Q2,MAL,Third Party Products,58,24,5,28
Q1,INT,Third Party Products,154,147,36,-29
Q1,MAL,Credit Products,1472,1030,176,266
Q3,INT,Third Party Products,235,80,15,140
Q3,ATM,Fee Based Products,63,49,12,2
Q3,MAL,Third Party Products,62,80,14,-33
Q3,EVE,Credit Products,158,75,11,72
Q2,EML,Third Party Products,199,130,22,47
Q1,EML,Deposit Products,90,116,12,-38
Q2,BRH,Revolving Credit Products,461,538,122,-199
Q3,EVE,Deposit Products,150,93,19,38
Q3,DSA,Credit Products,323,366,49,-92
Q1,EVE,Credit Products,106,134,14,-41
Q4,TEL,Revolving Credit Products,66,27,3,36
Q2,TEL,Credit Products,287,102,18,167
Q2,EML,Fee Based Products,261,230,47,-16
Q4,INT,Other Products,415,289,35,91
Q3,CCT,Other Products,256,297,60,-101
Q2,CCT,Revolving Credit Products,400,494,61,-155
Q3,ATM,Other Products,87,55,11,22
Q1,EML,Third Party Products,83,103,13,-33
Q2,MOP,Revolving Credit Products,221,239,49,-67
Q1,DSA,Deposit Products,76,92,20,-36
Q1,CCT,Other Products,457,436,94,-73
Q2,MOP,Revolving Credit Products,58,66,15,-23
Q1,MAL,Fee Based Products,57,49,11,-3
Q2,TEL,Deposit Products,101,105,24,-29
Q1,INT,Third Party Products,48,40,4,4
Q1,TEL,Revolving Credit Products,69,84,11,-26
Q1,MOP,Revolving Credit Products,193,108,18,68
Q3,BRH,Fee Based Products,440,211,28,202
Q4,MAL,Other Products,64,26,3,35
Q3,MAL,Deposit Products,65,26,6,32
Q4,MOP,Credit Products,236,197,36,4
Q2,ATM,Fee Based Products,858,316,54,488
Q1,ATM,Third Party Products,58,31,8,20
Q1,MAL,Third Party Products,114,88,18,8
Q1,MAL,Third Party Products,239,252,36,-49
Q3,MOP,Credit Products,93,101,17,-25
Q1,CCT,Fee Based Products,98,36,9,52
Q2,EVE,Revolving Credit Products,126,130,20,-24
Q4,CCT,Third Party Products,171,180,25,-34
Q1,EVE,Deposit Products,134,61,15,58
Q3,EVE,Deposit Products,68,47,9,12
Q4,MAL,Deposit Products,130,54,11,65
Q4,CCT,Deposit Products,122,123,15,-17
Q3,MAL,Fee Based Products,234,262,56,-84
Q2,EVE,Other Products,43,22,5,17
Q1,BRH,Credit Products,47,21,3,23
Q3,MOP,Deposit Products,133,95,20,18
Q1,TEL,Fee Based Products,65,86,20,-41
Q3,MAL,Third Party Products,118,61,9,48
Q1,INT,Deposit Products,179,160,24,-5
Q2,MAL,Revolving Credit Products,204,93,16,95
Q3,TEL,Credit Products,101,77,14,10
Q2,CCT,Fee Based Products,116,146,27,-58
Q2,MOP,Deposit Products,81,59,11,11
Q4,INT,Third Party Products,129,128,17,-16
Q4,INT,Revolving Credit Products,241,95,21,124
Q4,MOP,Revolving Credit Products,412,438,75,-101
Q4,ATM,Third Party Products,144,78,16,51
Q3,MAL,Other Products,67,40,4,23
Q1,DSA,Credit Products,321,148,36,137
Q4,TEL,Deposit Products,92,120,26,-53
Q2,DSA,Credit Products,146,91,22,33
Q4,INT,Revolving Credit Products,368,132,33,202
Q4,ATM,Fee Based Products,151,136,14,2
Q2,MAL,Credit Products,384,133,30,221
Q3,TEL,Other Products,155,194,39,-78
Q1,ATM,Fee Based Products,63,57,10,-5
Q3,EVE,Revolving Credit Products,92,109,21,-38
Q2,TEL,Fee Based Products,48,20,4,23
Q1,CCT,Fee Based Products,96,94,11,-9
Q3,CCT,Revolving Credit Products,53,52,7,-6
Q2,EML,Other Products,186,136,14,36
Q2,MOP,Revolving Credit Products,53,68,15,-30
Q4,EML,Other Products,331,326,54,-50
Q1,MAL,Other Products,203,182,24,-3
Q2,ATM,Fee Based Products,69,65,9,-5
Q2,EML,Revolving Credit Products,1378,873,201,304
Q3,DSA,Other Products,34,36,8,-10
Q3,CCT,Credit Products,75,82,17,-25
Q3,ATM,Third Party Products,70,36,7,27
Q4,EVE,Revolving Credit Products,132,84,17,31
Q4,TEL,Credit Products,39,51,8,-21
Q3,MOP,Credit Products,101,92,21,-11
Q3,MAL,Third Party Products,62,40,5,17
Q4,MAL,Other Products,63,55,7,1
Q1,BRH,Deposit Products,245,247,48,-50
Q3,TEL,Deposit Products,110,41,8,62
Q2,MOP,Credit Products,52,39,7,5
Q4,MAL,Deposit Products,1993,1581,290,122
Q3,DSA,Revolving Credit Products,176,163,23,-10
Q2,EVE,Other Products,52,34,8,10
Q3,TEL,Deposit Products,103,52,7,44
Q3,MAL,Other Products,408,422,89,-102
Q4,MOP,Credit Products,113,39,4,69
Q3,MAL,Revolving Credit Products,282,335,67,-120
Q1,MAL,Third Party Products,58,63,9,-14
Q4,EVE,Deposit Products,126,103,18,6
Q1,MOP,Revolving Credit Products,52,30,7,15
Q4,MOP,Deposit Products,140,140,25,-26
Q1,MOP,Credit Products,42,50,10,-18
Q3,MAL,Third Party Products,63,54,6,3
Q3,EVE,Revolving Credit Products,127,130,23,-26
Q1,MAL,Fee Based Products,230,184,36,11
Q4,MOP,Deposit Products,32,25,3,4
Q1,EML,Third Party Products,158,170,31,-43
Q3,ATM,Third Party Products,649,647,69,-67
Q2,TEL,Fee Based Products,55,21,5,30
Q2,MAL,Revolving Credit Products,353,121,25,208
Q1,INT,Fee Based Products,178,183,26,-30
Q3,TEL,Revolving Credit Products,136,162,19,-45
Q1,MAL,Other Products,391,468,51,-128
Q2,CCT,Other Products,447,396,55,-4
Q2,MOP,Revolving Credit Products,57,65,13,-20
Q2,EML,Fee Based Products,244,109,21,114
Q1,CCT,Other Products,223,286,70,-132
Q3,MAL,Third Party Products,63,75,12,-24
Q4,CCT,Credit Products,380,322,50,8
Q2,CCT,Fee Based Products,224,214,32,-22
Q1,ATM,Other Products,66,87,21,-42
Q2,ATM,Other Products,67,79,10,-22
Q2,EVE,Deposit Products,154,88,12,54
Q4,CCT,Credit Products,233,250,55,-72
Q2,TEL,Deposit Products,46,22,4,20
Q2,TEL,Fee Based Products,40,27,6,7
Q1,MOP,Revolving Credit Products,60,72,13,-26
Q2,ATM,Fee Based Products,60,58,7,-5
Q2,BRH,Third Party Products,330,208,34,88
Q2,MAL,Deposit Products,169,161,32,-23
Q4,MAL,Revolving Credit Products,340,435,106,-202
Q1,EVE,Credit Products,58,74,16,-32
Q3,ATM,Third Party Products,67,40,7,19
Q1,ATM,Fee Based Products,67,80,10,-22
Q2,ATM,Third Party Products,543,566,125,-148
Q3,EML,Revolving Credit Products,258,101,22,134
Q1,TEL,Other Products,71,91,17,-37
Q1,EVE,Deposit Products,148,167,29,-48
Q1,MAL,Other Products,63,62,14,-13
Q4,MAL,Fee Based Products,231,141,29,61
Q4,TEL,Revolving Credit Products,140,148,24,-32
Q3,BRH,Third Party Products,283,290,31,-38
Q1,MOP,Revolving Credit Products,33,16,2,15
Q1,EML,Revolving Credit Products,409,377,78,-46
Q1,ATM,Credit Products,117,93,16,7
Q4,EVE,Other Products,64,25,3,36
Q2,DSA,Credit Products,160,125,31,4
Q3,ATM,Credit Products,127,138,24,-34
Q3,EVE,Credit Products,73,40,8,25
Q2,INT,Fee Based Products,142,147,21,-25
Q2,EVE,Other Products,82,78,8,-4
Q2,BRH,Credit Products,39,51,11,-23
Q3,CCT,Deposit Products,120,100,22,-3
Q2,DSA,Other Products,18,20,4,-6
Q2,ATM,Other Products,69,46,7,16
Q1,ATM,Fee Based Products,59,34,7,18
Q1,CCT,Revolving Credit Products,42,55,9,-22
Q2,DSA,Revolving Credit Products,68,54,7,7
Q1,CCT,Revolving Credit Products,1141,423,68,650
Q2,TEL,Other Products,97,129,26,-58
Q1,ATM,Revolving Credit Products,122,71,9,41
Q1,MAL,Third Party Products,58,50,8,0
Q3,CCT,Deposit Products,170,122,25,23
Q3,MAL,Other Products,66,51,6,10
Q3,INT,Credit Products,306,357,64,-115
Q4,MOP,Credit Products,71,77,16,-23
Q4,TEL,Credit Products,127,92,17,18
Q3,TEL,Deposit Products,27,22,2,3
Q3,MAL,Third Party Products,62,35,8,19
Q1,ATM,Fee Based Products,83,41,5,37
Q4,CCT,Other Products,445,223,46,177
Q2,DSA,Revolving Credit Products,299,184,46,69
Q2,EVE,Credit Products,103,82,16,5
Q2,ATM,Deposit Products,514,467,62,-15
Q3,EML,Credit Products,74,89,10,-25
Q2,EML,Deposit Products,109,109,24,-24
Q4,ATM,Fee Based Products,150,194,47,-91
Q1,TEL,Deposit Products,88,56,13,18
Q1,MOP,Other Products,29,31,8,-9
Q2,MAL,Other Products,62,40,7,16
Q4,TEL,Fee Based Products,36,21,3,11
Q2,MAL,Other Products,63,34,5,25
Q2,BRH,Other Products,22,19,3,-1
Q4,BRH,Credit Products,70,46,10,14
Q1,TEL,Revolving Credit Products,48,47,10,-9
Q2,TEL,Revolving Credit Products,28,12,1,14
Q3,MAL,Deposit Products,126,68,12,46
Q1,MOP,Deposit Products,16,11,2,3
Q4,BRH,Fee Based Products,19,8,2,8
Q1,MAL,Credit Products,386,472,83,-169
Q3,MAL,Other Products,66,62,8,-4
Q4,BRH,Other Products,770,571,115,84
Q1,DSA,Other Products,28,33,6,-10
Q2,MAL,Revolving Credit Products,70,79,10,-19
Q1,ATM,Third Party Products,429,443,101,-116
Q3,CCT,Fee Based Products,112,115,23,-27
Q4,TEL,Revolving Credit Products,280,196,33,51
Q4,MAL,Deposit Products,59,24,3,32
Q3,BRH,Deposit Products,44,36,7,2
Q2,MAL,Other Products,61,21,5,35
Q2,MOP,Credit Products,94,106,18,-30
Q4,EML,Fee Based Products,329,305,49,-25
Q2,MAL,Third Party Products,57,36,6,16
Q2,ATM,Other Products,59,66,16,-23
Q4,DSA,Revolving Credit Products,152,106,11,35
Q3,CCT,Fee Based Products,17,6,1,9
Q2,BRH,Revolving Credit Products,32,17,4,12
Q4,INT,Other Products,13,16,2,-5
Q3,INT,Other Products,14,8,1,5
Q1,TEL,Fee Based Products,47,31,5,11
Q1,TEL,Credit Products,612,785,130,-302
Q4,DSA,Other Products,33,33,5,-4
Q1,INT,Deposit Products,154,143,29,-18
Q4,EVE,Revolving Credit Products,88,88,14,-14
Q4,TEL,Deposit Products,37,26,3,8
Q1,INT,Credit Products,286,243,30,13
Q4,MOP,Deposit Products,109,107,13,-11
Q3,MOP,Credit Products,12,13,2,-4
Q2,EML,Deposit Products,91,112,15,-36
Q2,MOP,Revolving Credit Products,25,16,3,6
Q4,CCT,Credit Products,73,29,6,38
Q3,EVE,Revolving Credit Products,45,35,5,5
Q1,CCT,Third Party Products,172,104,22,46
Q3,TEL,Other Products,155,173,35,-53
Q1,MAL,Other Products,62,52,7,2
Q2,BRH,Other Products,18,18,2,-2
Q2,MOP,Deposit Products,43,54,9,-20
Q2,TEL,Deposit Products,96,111,17,-32
Q1,EML,Credit Products,67,38,8,21
Q2,CCT,Deposit Products,62,36,4,21
Q3,INT,Deposit Products,53,28,6,19
Q3,MOP,Credit Products,161,77,12,72
Q2,EML,Credit Products,67,74,11,-17
Q3,MOP,Revolving Credit Products,34,43,7,-16
Q4,MOP,Revolving Credit Products,69,48,6,14
Q3,EML,Fee Based Products,187,163,19,5
Q4,TEL,Other Products,135,86,18,31
Q2,MOP,Credit Products,110,130,22,-42
Q3,MAL,Fee Based Products,63,59,8,-4
Q3,BRH,Third Party Products,14,8,1,5
Q1,INT,Other Products,14,17,3,-6
Q4,BRH,Revolving Credit Products,26,23,5,-1
Q1,MAL,Deposit Products,144,161,34,-50
Q1,MAL,Fee Based Products,61,33,4,24
Q3,INT,Third Party Products,13,14,2,-3
Q2,CCT,Revolving Credit Products,44,36,8,0
Q2,EML,Credit Products,43,51,11,-20
Q1,CCT,Deposit Products,60,26,4,30
Q1,INT,Third Party Products,108,137,16,-46
Q2,EVE,Deposit Products,215,134,26,55
Q4,MOP,Revolving Credit Products,44,29,5,10
Q2,EML,Revolving Credit Products,368,203,32,133
Q1,EVE,Other Products,10,13,2,-5
Q2,MOP,Deposit Products,23,18,2,2
Q2,EML,Third Party Products,130,101,20,9
Q2,CCT,Revolving Credit Products,965,434,85,445
Q3,INT,Fee Based Products,13,11,2,0
Q3,BRH,Deposit Products,15,6,1,8
Q1,MAL,Other Products,57,69,8,-20
Q2,DSA,Other Products,32,20,4,8
Q2,ATM,Other Products,74,60,10,4
Q4,TEL,Deposit Products,18,18,4,-4
Q2,TEL,Deposit Products,75,91,16,-33
Q3,INT,Other Products,15,13,3,-1
Q1,MAL,Credit Products,381,382,73,-74
Q2,EML,Other Products,8,8,2,-2
Q3,EVE,Revolving Credit Products,109,107,27,-25
Q3,INT,Deposit Products,12,9,1,2
Q3,BRH,Other Products,14,6,1,7
Q4,TEL,Credit Products,32,19,3,9
Q2,ATM,Other Products,74,85,16,-27
Q3,MOP,Deposit Products,13,6,1,6
Q3,MAL,Other Products,325,162,37,126
Q1,INT,Other Products,14,16,2,-3
Q2,MOP,Revolving Credit Products,42,25,4,12
Q1,DSA,Deposit Products,214,90,13,112
Q4,CCT,Fee Based Products,7,3,1,3
Q2,TEL,Revolving Credit Products,58,62,11,-16
Q2,EVE,Other Products,27,15,4,8
Q1,ATM,Other Products,71,49,10,12
Q3,CCT,Fee Based Products,337,271,56,9
Q3,MAL,Other Products,69,47,8,14
Q3,BRH,Third Party Products,14,16,3,-4
Q3,EML,Other Products,13,12,2,-1
Q2,EML,Other Products,7,5,1,1
Q1,BRH,Fee Based Products,9,8,1,-1
Q1,BRH,Revolving Credit Products,504,411,49,43
Q2,MAL,Third Party Products,57,67,7,-17
Q4,BRH,Other Products,26,16,2,8
Q3,CCT,Credit Products,32,34,6,-8
Q3,TEL,Other Products,12,6,1,4
Q2,INT,Other Products,14,15,3,-4
Q3,INT,Other Products,17,9,1,7
Q4,ATM,Third Party Products,145,107,18,19
Q4,EML,Credit Products,51,50,6,-5
Q4,CCT,Third Party Products,189,164,27,-3
Q1,DSA,Other Products,22,27,4,-9
Q1,EVE,Deposit Products,69,87,14,-31
Q3,DSA,Credit Products,249,308,51,-110
Q1,BRH,Fee Based Products,265,310,38,-83
Q3,ATM,Other Products,75,78,15,-18
Q3,INT,Fee Based Products,13,7,1,6
Q1,BRH,Other Products,13,11,3,-1
Q4,MAL,Fee Based Products,61,34,8,19
Q2,EML,Other Products,6,5,1,0
Q3,MAL,Third Party Products,63,72,10,-19
Q2,BRH,Fee Based Products,19,22,3,-6
Q1,MAL,Fee Based Products,59,38,4,17
Q2,MOP,Deposit Products,41,26,3,12
Q3,MAL,Other Products,70,69,16,-16
Q3,CCT,Other Products,12,11,2,-1
Q3,DSA,Other Products,15,17,2,-4
Q1,CCT,Deposit Products,15,6,1,8
Q4,MOP,Revolving Credit Products,85,69,13,4
Q3,INT,Deposit Products,181,224,32,-75
Q3,BRH,Other Products,18,14,2,3
Q3,EML,Other Products,16,8,2,5
Q4,BRH,Third Party Products,9,4,0,4
Q4,INT,Fee Based Products,10,14,3,-6
Q1,EML,Other Products,8,8,1,-1
Q4,TEL,Revolving Credit Products,76,96,19,-39
Q4,INT,Other Products,12,6,1,5
Q4,MAL,Fee Based Products,61,34,4,23
Q2,CCT,Fee Based Products,114,77,17,21
Q2,BRH,Third Party Products,8,7,2,0
Q1,BRH,Third Party Products,7,4,1,2
Q3,MOP,Other Products,13,15,4,-6
Q2,CCT,Other Products,7,5,1,1
Q2,EVE,Deposit Products,37,29,5,2
Q4,MAL,Revolving Credit Products,74,44,9,22
Q1,INT,Other Products,11,6,1,3
Q1,CCT,Other Products,13,17,4,-7
Q4,EVE,Revolving Credit Products,56,50,8,-2
Q1,TEL,Deposit Products,13,10,1,2
Q2,INT,Third Party Products,6,7,1,-2
Q4,CCT,Other Products,15,11,1,3
Q3,INT,Third Party Products,15,14,3,-2
Q2,TEL,Deposit Products,87,48,10,30
Q3,CCT,Deposit Products,112,42,10,60
Q1,ATM,Fee Based Products,67,37,6,24
Q3,EML,Other Products,15,7,1,8
Q3,INT,Other Products,307,155,31,121
Q3,BRH,Fee Based Products,18,7,1,10
Q2,INT,Other Products,10,6,1,3
Q3,TEL,Other Products,14,8,2,4
Q4,INT,Fee Based Products,5,5,1,-1
Q1,BRH,Revolving Credit Products,26,20,5,1
Q3,INT,Third Party Products,13,14,3,-4
Q2,BRH,Third Party Products,5,6,1,-2
Q1,CCT,Other Products,13,7,1,4
Q3,CCT,Fee Based Products,12,8,2,3
Q1,TEL,Other Products,4,2,0,2
Q3,ATM,Other Products,81,46,7,27
Q2,BRH,Other Products,17,20,2,-5
Q2,EML,Third Party Products,4,3,1,0
Q1,CCT,Credit Products,31,18,3,10
Q1,BRH,Fee Based Products,10,13,3,-5
Q2,EML,Revolving Credit Products,4,2,0,2
Q2,EVE,Credit Products,18,9,2,6
Q3,BRH,Other Products,16,18,3,-6
Q3,CCT,Third Party Products,12,13,2,-2
Q4,DSA,Other Products,29,37,6,-14
Q2,INT,Third Party Products,5,3,1,1
Q1,BRH,Third Party Products,9,6,1,2
Q4,INT,Fee Based Products,5,5,1,-2
Q3,INT,Other Products,15,15,3,-3
Q1,EML,Fee Based Products,297,110,18,169
Q4,EVE,Credit Products,12,5,1,6
Q4,CCT,Fee Based Products,4,3,1,1
Q4,INT,Other Products,13,17,3,-7
Q3,BRH,Other Products,12,11,1,-1
Q1,INT,Other Products,13,9,2,2
Q2,CCT,Deposit Products,9,3,1,5
Q1,TEL,Fee Based Products,38,20,3,14
Q3,INT,Third Party Products,12,15,3,-5
Q4,BRH,Fee Based Products,7,6,1,0
Q2,CCT,Fee Based Products,9,9,2,-1
Q3,CCT,Fee Based Products,14,9,1,4
Q1,DSA,Other Products,3,3,1,0
Q4,MOP,Other Products,4,4,1,-2
Q3,INT,Revolving Credit Products,234,281,65,-112
Q1,BRH,Other Products,3,1,0,2
Q2,CCT,Other Products,8,4,1,4
Q2,INT,Credit Products,8,4,1,3
Q2,CCT,Fee Based Products,5,6,1,-2
Q4,TEL,Credit Products,206,122,28,55
Q1,EML,Other Products,8,9,1,-2
Q3,EML,Other Products,14,12,2,0
Q1,MOP,Deposit Products,41,54,7,-21
Q2,INT,Deposit Products,6,7,1,-3
Q2,EVE,Other Products,6,7,2,-3
Q3,BRH,Other Products,24,17,2,4
Q4,EML,Third Party Products,3,3,0,0
Q3,CCT,Other Products,13,10,2,1
Q1,TEL,Deposit Products,35,45,10,-20
Q3,BRH,Deposit Products,240,230,40,-31
Q1,EVE,Other Products,5,3,0,2
Q1,CCT,Third Party Products,4,4,0,-1
Q1,INT,Third Party Products,5,2,0,3
Q3,EVE,Deposit Products,167,81,13,72
Q1,CCT,Third Party Products,4,2,0,2
Q3,MOP,Revolving Credit Products,20,12,1,7
Q4,BRH,Other Products,12,11,1,-1
Q4,MOP,Revolving Credit Products,18,22,3,-7
Q1,MAL,Third Party Products,59,64,11,-15
Q4,TEL,Other Products,4,4,1,0
Q2,CCT,Third Party Products,6,7,1,-2
Q1,BRH,Revolving Credit Products,27,16,2,9
Q3,INT,Revolving Credit Products,12,11,1,0
Q2,EML,Fee Based Products,6,3,1,3
Q3,INT,Deposit Products,13,16,3,-6
Q2,EVE,Other Products,5,3,0,2
Q3,BRH,Fee Based Products,17,16,2,-2
Q2,INT,Credit Products,5,6,1,-2
Q2,MAL,Third Party Products,58,50,9,-1
Q3,EML,Fee Based Products,13,17,2,-5
Q3,MAL,Other Products,62,28,4,30
Q4,MAL,Third Party Products,59,58,10,-9
Q1,TEL,Deposit Products,21,25,4,-8
Q3,EVE,Other Products,22,9,2,11
Q1,INT,Fee Based Products,5,3,1,1
Q2,BRH,Revolving Credit Products,8,8,1,-1
Q2,INT,Third Party Products,4,2,0,2
Q2,BRH,Fee Based Products,11,12,2,-3
Q2,INT,Third Party Products,3,2,0,0
Q4,CCT,Fee Based Products,4,4,1,-1
Q1,EML,Fee Based Products,9,7,2,0
Q1,EML,Deposit Products,4,1,0,2
Q3,TEL,Other Products,13,10,1,2
Q1,DSA,Other Products,6,6,1,-1
Q4,CCT,Third Party Products,6,5,1,0
Q1,INT,Fee Based Products,8,8,1,-1
Q1,TEL,Other Products,4,2,0,2
Q4,CCT,Fee Based Products,2,2,0,-1
Q1,TEL,Deposit Products,172,196,24,-48
Q2,INT,Deposit Products,119,148,24,-53
Q4,EML,Third Party Products,3,3,1,-1
Q1,INT,Third Party Products,5,3,1,1
Q1,CCT,Revolving Credit Products,3,3,0,-1
Q1,BRH,Other Products,3,3,1,-1
Q1,MOP,Other Products,4,5,1,-2
Q1,CCT,Other Products,8,5,1,2
Q2,TEL,Other Products,27,11,1,14
Q1,DSA,Other Products,3,2,0,1
Q2,INT,Third Party Products,203,152,27,24
Q1,INT,Other Products,3,3,0,-1
Q3,BRH,Revolving Credit Products,32,19,3,10
Q2,BRH,Other Products,10,10,1,0
Q2,BRH,Fee Based Products,9,11,2,-4
Q1,BRH,Fee Based Products,12,14,3,-5
Q3,TEL,Deposit Products,16,6,1,9
Q1,EML,Fee Based Products,2,1,0,1
Q4,INT,Deposit Products,6,8,2,-3
Q3,EML,Fee Based Products,15,18,4,-7
Q4,CCT,Third Party Products,5,5,1,0
Q4,TEL,Deposit Products,39,25,6,9
Q3,EVE,Credit Products,240,211,32,-3
Q2,CCT,Other Products,3,1,0,2
Q2,EML,Third Party Products,3,3,0,0
Q4,EML,Fee Based Products,5,6,1,-2
Q1,BRH,Third Party Products,9,9,1,-2
Q4,MAL,Other Products,56,74,15,-33
Q2,INT,Fee Based Products,9,3,1,5
Q4,EVE,Other Products,30,28,4,-2
Q1,EML,Fee Based Products,9,7,2,-1
Q2,EML,Fee Based Products,5,5,1,-1
Q2,BRH,Third Party Products,13,12,2,-1
Q4,BRH,Revolving Credit Products,38,39,6,-7
Q4,CCT,Third Party Products,5,3,1,1
Q3,TEL,Revolving Credit Products,241,236,58,-52
Q1,EML,Other Products,6,4,1,2
Q2,CCT,Third Party Products,170,221,26,-77
Q3,TEL,Deposit Products,23,17,4,1
Q1,TEL,Other Products,3,1,0,1
Q2,MOP,Other Products,3,3,0,-1
Q2,EVE,Revolving Credit Products,21,20,5,-4
Q4,INT,Third Party Products,2,3,0,-1
Q4,CCT,Fee Based Products,6,2,0,3
Q2,EML,Third Party Products,3,3,1,-1
Q1,EML,Fee Based Products,4,4,1,0
Q4,BRH,Fee Based Products,12,8,1,3
Q4,INT,Other Products,2,2,0,0
Q4,INT,Third Party Products,2,3,0,-1
Q2,ATM,Deposit Products,72,36,5,31
Q4,BRH,Third Party Products,9,5,1,3
Q2,EML,Deposit Products,2,2,0,-1
Q2,INT,Third Party Products,3,1,0,2
Q4,CCT,Third Party Products,98,82,10,6
Q2,ATM,Third Party Products,57,34,8,15
Q3,INT,Other Products,17,15,3,-2
Q3,MOP,Deposit Products,25,25,4,-4
Q1,ATM,Third Party Products,57,35,6,16
Q2,BRH,Credit Products,522,693,80,-252
Q2,MOP,Other Products,2,2,0,0
Q4,CCT,Other Products,6,4,1,2
Q1,INT,Credit Products,5,6,1,-1
Q4,TEL,Other Products,3,2,0,0
Q1,EML,Third Party Products,3,4,1,-2
Q2,BRH,Third Party Products,188,177,34,-24
Q4,EML,Third Party Products,2,2,0,0
Q2,EML,Other Products,13,14,2,-3
Q2,CCT,Other Products,228,199,49,-21
Q1,BRH,Third Party Products,8,11,3,-5
Q3,TEL,Other Products,13,10,2,1
Q3,MOP,Credit Products,226,253,58,-85
Q3,CCT,Third Party Products,16,21,4,-9
Q2,MOP,Other Products,2,1,0,0
Q1,INT,Third Party Products,3,1,0,2
Q2,DSA,Deposit Products,34,33,6,-5
Q1,CCT,Fee Based Products,4,2,1,1
Q4,CCT,Other Products,10,7,1,1
Q1,CCT,Fee Based Products,1,1,0,0
Q1,INT,Fee Based Products,6,5,1,1
